Infinitive,сни́кнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сни́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,сни́кнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сни́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сни́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сни́кну
2nd Sing,сни́кнешь
3rd Sing,сни́кнет
1st Pl,сни́кнем
2nd Pl,сни́кнете
3rd Pl,сни́кнут
Past M,сни́к
Past F,сни́кла
Past N,сни́кло
Past PL,сни́кли
Imp S,сни́кни
Imp PL,сни́кните
