Infinitive,снижа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,снижа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,снижа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,снижа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,снижа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,снижа́юсь
2nd Sing,снижа́ешься
3rd Sing,снижа́ется
1st Pl,снижа́емся
2nd Pl,снижа́етесь
3rd Pl,снижа́ются
Past M,снижа́лся
Past F,снижа́лась
Past N,снижа́лось
Past PL,снижа́лись
Imp S,снижа́йся
Imp PL,снижа́йтесь
