Infinitive,снаряжа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,снаряжа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,снаряжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,снаряжа́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,снаряжа́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,снаряжа́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,снаряжа́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,снаряжа́ю
2nd Sing,снаряжа́ешь
3rd Sing,снаряжа́ет
1st Pl,снаряжа́ем
2nd Pl,снаряжа́ете
3rd Pl,снаряжа́ют
Past M,снаряжа́л
Past F,снаряжа́ла
Past N,снаряжа́ло
Past PL,снаряжа́ли
Imp S,снаряжа́й
Imp PL,снаряжа́йте
