Infinitive,снаряди́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,снаряди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,снаряжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,снаряди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,снаряди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,снаряжу́
2nd Sing,снаряди́шь
3rd Sing,снаряди́т
1st Pl,снаряди́м
2nd Pl,снаряди́те
3rd Pl,снарядя́т
Past M,снаряди́л
Past F,снаряди́ла
Past N,снаряди́ло
Past PL,снаряди́ли
Imp S,снаряди́
Imp PL,снаряди́те
