Infinitive,сни́зиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сни́зившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сни́зившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сни́жусь
2nd Sing,сни́зишься
3rd Sing,сни́зится
1st Pl,сни́зимся
2nd Pl,сни́зитесь
3rd Pl,сни́зятся
Past M,сни́зился
Past F,сни́зилась
Past N,сни́зилось
Past PL,сни́зились
Imp S,сни́зься
Imp PL,сни́зьтесь
