Infinitive,снабди́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,снабди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,снабжённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,снабди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,снабди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,снабжу́
2nd Sing,снабди́шь
3rd Sing,снабди́т
1st Pl,снабди́м
2nd Pl,снабди́те
3rd Pl,снабдя́т
Past M,снабди́л
Past F,снабди́ла
Past N,снабди́ло
Past PL,снабди́ли
Imp S,снабди́
Imp PL,снабди́те
