Infinitive,сни́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сня́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сни́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сня́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сни́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сню́сь
2nd Sing,сни́шься
3rd Sing,сни́тся
1st Pl,сни́мся
2nd Pl,сни́тесь
3rd Pl,сня́тся
Past M,сни́лся
Past F,сни́лась
Past N,сни́лось
Past PL,сни́лись
Imp S,сни́сь
Imp PL,сни́тесь
