Infinitive,снима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,снима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,снима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,снима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,снима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,снима́юсь
2nd Sing,снима́ешься
3rd Sing,снима́ется
1st Pl,снима́емся
2nd Pl,снима́етесь
3rd Pl,снима́ются
Past M,снима́лся
Past F,снима́лась
Past N,снима́лось
Past PL,снима́лись
Imp S,снима́йся
Imp PL,снима́йтесь
