Infinitive,сня́ться
Zaliznyak Class,14c/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сня́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сня́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сниму́сь
2nd Sing,сни́мешься
3rd Sing,сни́мется
1st Pl,сни́мемся
2nd Pl,сни́метесь
3rd Pl,сни́мутся
Past M,сня́лся
Past F,сняла́сь
Past N,сняло́сь
Past PL,сняли́сь
Imp S,сними́сь
Imp PL,сними́тесь
