Infinitive,ны́ть
Zaliznyak Class,12a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,но́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ны́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,но́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ны́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ны́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,но́ю
2nd Sing,но́ешь
3rd Sing,но́ет
1st Pl,но́ем
2nd Pl,но́ете
3rd Pl,но́ют
Past M,ны́л
Past F,ны́ла
Past N,ны́ло
Past PL,ны́ли
Imp S,но́й
Imp PL,но́йте
