Infinitive,нырну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,нырну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,нырну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,нырну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,нырну́
2nd Sing,нырнёшь
3rd Sing,нырнёт
1st Pl,нырнём
2nd Pl,нырнёте
3rd Pl,нырну́т
Past M,нырну́л
Past F,нырну́ла
Past N,нырну́ло
Past PL,нырну́ли
Imp S,нырни́
Imp PL,нырни́те
