Infinitive,недопи́ть
Zaliznyak Class,11b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,недопи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,недо́питый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,недопи́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,недопи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,недопи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,недопью́
2nd Sing,недопьёшь
3rd Sing,недопьёт
1st Pl,недопьём
2nd Pl,недопьёте
3rd Pl,недопью́т
Past M,недо́пил
Past F,недопила́
Past N,недо́пило
Past PL,недо́пили
Imp S,недопе́й
Imp PL,недопе́йте
