Infinitive,нести́сь
Zaliznyak Class,7b/b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,несу́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,нёсшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,неся́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,нёсшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,несу́сь
2nd Sing,несёшься
3rd Sing,несётся
1st Pl,несёмся
2nd Pl,несётесь
3rd Pl,несу́тся
Past M,нёсся
Past F,несла́сь
Past N,несло́сь
Past PL,несли́сь
Imp S,неси́сь
Imp PL,неси́тесь
