Infinitive,невзлюби́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,невзлюби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,невзлю́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,невзлюби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,невзлюби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,невзлюблю́
2nd Sing,невзлю́бишь
3rd Sing,невзлю́бит
1st Pl,невзлю́бим
2nd Pl,невзлю́бите
3rd Pl,невзлю́бят
Past M,невзлюби́л
Past F,невзлюби́ла
Past N,невзлюби́ло
Past PL,невзлюби́ли
Imp S,невзлюби́
Imp PL,невзлюби́те
