Infinitive,не́рвничать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,не́рвничающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,не́рвничавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,не́рвничая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,не́рвничав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,не́рвничавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,не́рвничаю
2nd Sing,не́рвничаешь
3rd Sing,не́рвничает
1st Pl,не́рвничаем
2nd Pl,не́рвничаете
3rd Pl,не́рвничают
Past M,не́рвничал
Past F,не́рвничала
Past N,не́рвничало
Past PL,не́рвничали
Imp S,не́рвничай
Imp PL,не́рвничайте
