Infinitive,недооце́нивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,недооце́нивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,недооце́нивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,недооце́ниваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,недооце́нивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,недооце́нивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,недооце́нивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,недооце́ниваю
2nd Sing,недооце́ниваешь
3rd Sing,недооце́нивает
1st Pl,недооце́ниваем
2nd Pl,недооце́ниваете
3rd Pl,недооце́нивают
Past M,недооце́нивал
Past F,недооце́нивала
Past N,недооце́нивало
Past PL,недооце́нивали
Imp S,недооце́нивай
Imp PL,недооце́нивайте
