Infinitive,недоде́лать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,недоде́лавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,недоде́ланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,недоде́лав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,недоде́лавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,недоде́лаю
2nd Sing,недоде́лаешь
3rd Sing,недоде́лает
1st Pl,недоде́лаем
2nd Pl,недоде́лаете
3rd Pl,недоде́лают
Past M,недоде́лал
Past F,недоде́лала
Past N,недоде́лало
Past PL,недоде́лали
Imp S,недоде́лай
Imp PL,недоде́лайте
