Infinitive,негодова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,негоду́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,негодова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,негоду́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,негодова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,негодова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,негоду́ю
2nd Sing,негоду́ешь
3rd Sing,негоду́ет
1st Pl,негоду́ем
2nd Pl,негоду́ете
3rd Pl,негоду́ют
Past M,негодова́л
Past F,негодова́ла
Past N,негодова́ло
Past PL,негодова́ли
Imp S,негоду́й
Imp PL,негоду́йте
