Infinitive,недое́сть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,недое́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,недое́денный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,недое́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,недое́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,недое́м
2nd Sing,недое́шь
3rd Sing,недое́ст
1st Pl,недоеди́м
2nd Pl,недоеди́те
3rd Pl,недоедя́т
Past M,недое́л
Past F,недое́ла
Past N,недое́ло
Past PL,недое́ли
Imp S,недое́шь
Imp PL,недое́шьте
