Infinitive,недооцени́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,недооцени́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,недооценённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,недооцени́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,недооцени́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,недооценю́
2nd Sing,недооце́нишь
3rd Sing,недооце́нит
1st Pl,недооце́ним
2nd Pl,недооце́ните
3rd Pl,недооце́нят
Past M,недооцени́л
Past F,недооцени́ла
Past N,недооцени́ло
Past PL,недооцени́ли
Imp S,недооцени́
Imp PL,недооцени́те
