Infinitive,недолю́бливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,недолю́бливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,недолю́бливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,недолю́бливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,недолю́бливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,недолю́бливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,недолю́бливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,недолю́бливаю
2nd Sing,недолю́бливаешь
3rd Sing,недолю́бливает
1st Pl,недолю́бливаем
2nd Pl,недолю́бливаете
3rd Pl,недолю́бливают
Past M,недолю́бливал
Past F,недолю́бливала
Past N,недолю́бливало
Past PL,недолю́бливали
Imp S,недолю́бливай
Imp PL,недолю́бливайте
