Infinitive,недоумева́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,недоумева́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,недоумева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,недоумева́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,недоумева́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,недоумева́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,недоумева́ю
2nd Sing,недоумева́ешь
3rd Sing,недоумева́ет
1st Pl,недоумева́ем
2nd Pl,недоумева́ете
3rd Pl,недоумева́ют
Past M,недоумева́л
Past F,недоумева́ла
Past N,недоумева́ло
Past PL,недоумева́ли
Imp S,недоумева́й
Imp PL,недоумева́йте
