Infinitive,ненави́деть
Zaliznyak Class,5a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ненави́дящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ненави́девший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ненави́димый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ненави́денный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,ненави́дя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,ненави́дев
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,ненави́девши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,ненави́жу
2nd Sing,ненави́дишь
3rd Sing,ненави́дит
1st Pl,ненави́дим
2nd Pl,ненави́дите
3rd Pl,ненави́дят
Past M,ненави́дел
Past F,ненави́дела
Past N,ненави́дело
Past PL,ненави́дели
Imp S,ненави́дь
Imp PL,ненави́дьте
