Infinitive,неи́стовствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,неи́стовствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,неи́стовствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,неи́стовствуя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,неи́стовствовав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,неи́стовствовавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,неи́стовствую
2nd Sing,неи́стовствуешь
3rd Sing,неи́стовствует
1st Pl,неи́стовствуем
2nd Pl,неи́стовствуете
3rd Pl,неи́стовствуют
Past M,неи́стовствовал
Past F,неи́стовствовала
Past N,неи́стовствовало
Past PL,неи́стовствовали
Imp S,неи́стовствуй
Imp PL,неи́стовствуйте
