Infinitive,не́житься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,не́жащийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,не́жившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,не́жась
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,не́жившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,не́жусь
2nd Sing,не́жишься
3rd Sing,не́жится
1st Pl,не́жимся
2nd Pl,не́житесь
3rd Pl,не́жатся
Past M,не́жился
Past F,не́жилась
Past N,не́жилось
Past PL,не́жились
Imp S,не́жься
Imp PL,не́жьтесь
