Infinitive,дра́ть
Zaliznyak Class,6°b/c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,деру́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дра́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дра́ный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,деря́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,дра́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,дра́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,деру́
2nd Sing,дерёшь
3rd Sing,дерёт
1st Pl,дерём
2nd Pl,дерёте
3rd Pl,деру́т
Past M,дра́л
Past F,драла́
Past N,дра́ло
Past PL,дра́ли
Imp S,дери́
Imp PL,дери́те
