Infinitive,дра́пать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дра́пающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дра́павший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дра́пая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дра́пав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дра́павши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дра́паю
2nd Sing,дра́паешь
3rd Sing,дра́пает
1st Pl,дра́паем
2nd Pl,дра́паете
3rd Pl,дра́пают
Past M,дра́пал
Past F,дра́пала
Past N,дра́пало
Past PL,дра́пали
Imp S,дра́пай
Imp PL,дра́пайте
