Infinitive,дроби́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дробя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дроби́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дробя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дроби́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дроблю́сь
2nd Sing,дроби́шься
3rd Sing,дроби́тся
1st Pl,дроби́мся
2nd Pl,дроби́тесь
3rd Pl,дробя́тся
Past M,дроби́лся
Past F,дроби́лась
Past N,дроби́лось
Past PL,дроби́лись
Imp S,дроби́сь
Imp PL,дроби́тесь
