Infinitive,дребезжа́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дребезжа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дребезжа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дребезжа́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дребезжа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дребезжа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дребезжу́
2nd Sing,дребезжи́шь
3rd Sing,дребезжи́т
1st Pl,дребезжи́м
2nd Pl,дребезжи́те
3rd Pl,дребезжа́т
Past M,дребезжа́л
Past F,дребезжа́ла
Past N,дребезжа́ло
Past PL,дребезжа́ли
Imp S,дребезжи́
Imp PL,дребезжи́те
