Infinitive,дроби́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дробя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дроби́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дроби́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дроблённый
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,дробя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,дроби́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,дроби́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,дроблю́
2nd Sing,дроби́шь
3rd Sing,дроби́т
1st Pl,дроби́м
2nd Pl,дроби́те
3rd Pl,дробя́т
Past M,дроби́л
Past F,дроби́ла
Past N,дроби́ло
Past PL,дроби́ли
Imp S,дроби́
Imp PL,дроби́те
