Infinitive,дрема́ть
Zaliznyak Class,6c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дре́млющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дрема́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дремля́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дрема́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дрема́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дремлю́
2nd Sing,дре́млешь
3rd Sing,дре́млет
1st Pl,дре́млем
2nd Pl,дре́млете
3rd Pl,дре́млют
Past M,дрема́л
Past F,дрема́ла
Past N,дрема́ло
Past PL,дрема́ли
Imp S,дремли́
Imp PL,дремли́те
