Infinitive,дре́йфить
Zaliznyak Class,4a[③]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дре́йфящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дре́йфивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дре́йфя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дре́йфив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дре́йфивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дре́йфлю
2nd Sing,дре́йфишь
3rd Sing,дре́йфит
1st Pl,дре́йфим
2nd Pl,дре́йфите
3rd Pl,дре́йфят
Past M,дре́йфил
Past F,дре́йфила
Past N,дре́йфило
Past PL,дре́йфили
Imp S,дре́йфи
Imp PL,дре́йфьте
