Infinitive,дра́ться
Zaliznyak Class,6°b/c''
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,деру́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дра́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,деря́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дра́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,деру́сь
2nd Sing,дерёшься
3rd Sing,дерётся
1st Pl,дерёмся
2nd Pl,дерётесь
3rd Pl,деру́тся
Past M,дра́лся
Past F,драла́сь
Past N,драло́сь
Past PL,драли́сь
Imp S,дери́сь
Imp PL,дери́тесь
