Infinitive,дро́гнуть
Zaliznyak Class,3°a[⑤⑥]
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дро́гнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дро́гший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,дро́гнувший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,дро́гнув
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дро́гши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дро́гну
2nd Sing,дро́гнешь
3rd Sing,дро́гнет
1st Pl,дро́гнем
2nd Pl,дро́гнете
3rd Pl,дро́гнут
Past M,дро́г
Past F,дро́гла
Past N,дро́гло
Past PL,дро́гли
Imp S,дро́гни
Imp PL,дро́гните
