Infinitive,дружи́ть
Zaliznyak Class,4c[④] // 4b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дружа́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,дру́жащий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,дружи́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,дружа́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,дружи́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,дружи́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,дружу́
2nd Sing,дру́жишь
3rd Sing,дру́жит
1st Pl,дру́жим
2nd Pl,дру́жите
3rd Pl,дру́жат
Past M,дружи́л
Past F,дружи́ла
Past N,дружи́ло
Past PL,дружи́ли
Imp S,дружи́
Imp PL,дружи́те
