Infinitive,дрейфова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дрейфу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дрейфова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дрейфу́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дрейфова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дрейфова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дрейфу́ю
2nd Sing,дрейфу́ешь
3rd Sing,дрейфу́ет
1st Pl,дрейфу́ем
2nd Pl,дрейфу́ете
3rd Pl,дрейфу́ют
Past M,дрейфова́л
Past F,дрейфова́ла
Past N,дрейфова́ло
Past PL,дрейфова́ли
Imp S,дрейфу́й
Imp PL,дрейфу́йте
