Infinitive,дры́хнуть
Zaliznyak Class,3°a[⑤]⑥
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дры́хнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дры́хнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дры́хнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,дры́хнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дры́хну
2nd Sing,дры́хнешь
3rd Sing,дры́хнет
1st Pl,дры́хнем
2nd Pl,дры́хнете
3rd Pl,дры́хнут
Past M,дры́х
Past F,дры́хла
Past N,дры́хло
Past PL,дры́хли
Imp S,дры́хни
Imp PL,дры́хните
