Infinitive,ви́ться
Zaliznyak Class,11b/c''
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вью́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ви́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вья́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ви́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вью́сь
2nd Sing,вьёшься
3rd Sing,вьётся
1st Pl,вьёмся
2nd Pl,вьётесь
3rd Pl,вью́тся
Past M,ви́лся
Past F,вила́сь
Past N,вило́сь
Past PL,вили́сь
Imp S,ве́йся
Imp PL,ве́йтесь
