Infinitive,вильну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вильну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вильну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,вильну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,вильну́
2nd Sing,вильнёшь
3rd Sing,вильнёт
1st Pl,вильнём
2nd Pl,вильнёте
3rd Pl,вильну́т
Past M,вильну́л
Past F,вильну́ла
Past N,вильну́ло
Past PL,вильну́ли
Imp S,вильни́
Imp PL,вильни́те
