Infinitive,видне́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,видне́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,видне́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
3rd Sing,видне́ется
3rd Pl,видне́ются
Past M,видне́лся
Past F,видне́лась
Past N,видне́лось
Past PL,видне́лись
Imp S,—
Imp PL,—
