Infinitive,ви́снуть
Zaliznyak Class,3°a[⑤]⑥
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ви́снущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ви́снувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ви́снув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ви́снувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ви́сну
2nd Sing,ви́снешь
3rd Sing,ви́снет
1st Pl,ви́снем
2nd Pl,ви́снете
3rd Pl,ви́снут
Past M,ви́с
Past F,ви́сла
Past N,ви́сло
Past PL,ви́сли
Imp S,ви́сни
Imp PL,ви́сните
