Infinitive,вибри́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,вибри́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вибри́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вибри́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вибри́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,вибри́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,вибри́рую
2nd Sing,вибри́руешь
3rd Sing,вибри́рует
1st Pl,вибри́руем
2nd Pl,вибри́руете
3rd Pl,вибри́руют
Past M,вибри́ровал
Past F,вибри́ровала
Past N,вибри́ровало
Past PL,вибри́ровали
Imp S,вибри́руй
Imp PL,вибри́руйте
