Infinitive,ви́деться
Zaliznyak Class,5a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ви́дящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ви́девшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ви́дясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ви́девшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ви́жусь
2nd Sing,ви́дишься
3rd Sing,ви́дится
1st Pl,ви́димся
2nd Pl,ви́дитесь
3rd Pl,ви́дятся
Past M,ви́делся
Past F,ви́делась
Past N,ви́делось
Past PL,ви́делись
Imp S,—
Imp PL,—
