Infinitive,ви́ть
Zaliznyak Class,11b/c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вью́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ви́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ви́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,вья́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,ви́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,ви́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,вью́
2nd Sing,вьёшь
3rd Sing,вьёт
1st Pl,вьём
2nd Pl,вьёте
3rd Pl,вью́т
Past M,ви́л
Past F,вила́
Past N,ви́ло
Past PL,ви́ли
Imp S,ве́й
Imp PL,ве́йте
