Infinitive,узнава́ть
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,узнаю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,узнава́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,узнава́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,узнава́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,узнава́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,узнава́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,узнаю́
2nd Sing,узнаёшь
3rd Sing,узнаёт
1st Pl,узнаём
2nd Pl,узнаёте
3rd Pl,узнаю́т
Past M,узнава́л
Past F,узнава́ла
Past N,узнава́ло
Past PL,узнава́ли
Imp S,узнава́й
Imp PL,узнава́йте
