Infinitive,узако́нить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,узако́нивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,узако́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,узако́нив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,узако́нивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,узако́ню
2nd Sing,узако́нишь
3rd Sing,узако́нит
1st Pl,узако́ним
2nd Pl,узако́ните
3rd Pl,узако́нят
Past M,узако́нил
Past F,узако́нила
Past N,узако́нило
Past PL,узако́нили
Imp S,узако́нь
Imp PL,узако́ньте
