Infinitive,узна́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,узна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,у́знанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,узна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,узна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,узна́ю
2nd Sing,узна́ешь
3rd Sing,узна́ет
1st Pl,узна́ем
2nd Pl,узна́ете
3rd Pl,узна́ют
Past M,узна́л
Past F,узна́ла
Past N,узна́ло
Past PL,узна́ли
Imp S,узна́й
Imp PL,узна́йте
