Infinitive,сига́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сига́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сига́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сига́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сига́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,сига́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,сига́ю
2nd Sing,сига́ешь
3rd Sing,сига́ет
1st Pl,сига́ем
2nd Pl,сига́ете
3rd Pl,сига́ют
Past M,сига́л
Past F,сига́ла
Past N,сига́ло
Past PL,сига́ли
Imp S,сига́й
Imp PL,сига́йте
