Infinitive,сигану́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сигану́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сигану́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,сигану́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сигану́
2nd Sing,сиганёшь
3rd Sing,сиганёт
1st Pl,сиганём
2nd Pl,сиганёте
3rd Pl,сигану́т
Past M,сигану́л
Past F,сигану́ла
Past N,сигану́ло
Past PL,сигану́ли
Imp S,сигани́
Imp PL,сигани́те
