Infinitive,симпатизи́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,симпатизи́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,симпатизи́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,симпатизи́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,симпатизи́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,симпатизи́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,симпатизи́рую
2nd Sing,симпатизи́руешь
3rd Sing,симпатизи́рует
1st Pl,симпатизи́руем
2nd Pl,симпатизи́руете
3rd Pl,симпатизи́руют
Past M,симпатизи́ровал
Past F,симпатизи́ровала
Past N,симпатизи́ровало
Past PL,симпатизи́ровали
Imp S,симпатизи́руй
Imp PL,симпатизи́руйте
