Infinitive,си́литься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,си́лящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,си́лившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,си́лясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,си́лившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,си́люсь
2nd Sing,си́лишься
3rd Sing,си́лится
1st Pl,си́лимся
2nd Pl,си́литесь
3rd Pl,си́лятся
Past M,си́лился
Past F,си́лилась
Past N,си́лилось
Past PL,си́лились
Imp S,си́лься
Imp PL,си́льтесь
