Infinitive,выве́триваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выве́тривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выве́тривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выве́триваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выве́тривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выве́триваюсь
2nd Sing,выве́триваешься
3rd Sing,выве́тривается
1st Pl,выве́триваемся
2nd Pl,выве́триваетесь
3rd Pl,выве́триваются
Past M,выве́тривался
Past F,выве́тривалась
Past N,выве́тривалось
Past PL,выве́тривались
Imp S,выве́тривайся
Imp PL,выве́тривайтесь
