Infinitive,вы́сыпать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́сыпавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́сыпанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́сыпав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́сыпавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́сыплю
2nd Sing,вы́сыплешь
3rd Sing,вы́сыплет
1st Pl,вы́сыплем
2nd Pl,вы́сыплете
3rd Pl,вы́сыплют
Past M,вы́сыпал
Past F,вы́сыпала
Past N,вы́сыпало
Past PL,вы́сыпали
Imp S,вы́сыпи
Imp PL,вы́сыпьте
