Infinitive,вы́крикнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́крикнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́крикнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́крикнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́крикнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́крикну
2nd Sing,вы́крикнешь
3rd Sing,вы́крикнет
1st Pl,вы́крикнем
2nd Pl,вы́крикнете
3rd Pl,вы́крикнут
Past M,вы́крикнул
Past F,вы́крикнула
Past N,вы́крикнуло
Past PL,вы́крикнули
Imp S,вы́крикни
Imp PL,вы́крикните
