Infinitive,вы́везти
Zaliznyak Class,7a⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́везший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́везенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́везя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́везши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́везу
2nd Sing,вы́везешь
3rd Sing,вы́везет
1st Pl,вы́везем
2nd Pl,вы́везете
3rd Pl,вы́везут
Past M,вы́вез
Past F,вы́везла
Past N,вы́везло
Past PL,вы́везли
Imp S,вы́вези
Imp PL,вы́везите
