Infinitive,вы́селить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́селивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́селенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́селив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́селивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́селю
2nd Sing,вы́селишь
3rd Sing,вы́селит
1st Pl,вы́селим
2nd Pl,вы́селите
3rd Pl,вы́селят
Past M,вы́селил
Past F,вы́селила
Past N,вы́селило
Past PL,вы́селили
Imp S,вы́сели
Imp PL,вы́селите
