Infinitive,выполза́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,выполза́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выполза́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выполза́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выполза́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,выполза́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,выполза́ю
2nd Sing,выполза́ешь
3rd Sing,выполза́ет
1st Pl,выполза́ем
2nd Pl,выполза́ете
3rd Pl,выполза́ют
Past M,выполза́л
Past F,выполза́ла
Past N,выполза́ло
Past PL,выполза́ли
Imp S,выполза́й
Imp PL,выполза́йте
