Infinitive,вы́карабкаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́карабкавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́карабкавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́карабкаюсь
2nd Sing,вы́карабкаешься
3rd Sing,вы́карабкается
1st Pl,вы́карабкаемся
2nd Pl,вы́карабкаетесь
3rd Pl,вы́карабкаются
Past M,вы́карабкался
Past F,вы́карабкалась
Past N,вы́карабкалось
Past PL,вы́карабкались
Imp S,вы́карабкайся
Imp PL,вы́карабкайтесь
