Infinitive,вы́тащить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́тащивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́тащенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́тащив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́тащивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́тащу
2nd Sing,вы́тащишь
3rd Sing,вы́тащит
1st Pl,вы́тащим
2nd Pl,вы́тащите
3rd Pl,вы́тащат
Past M,вы́тащил
Past F,вы́тащила
Past N,вы́тащило
Past PL,вы́тащили
Imp S,вы́тащи
Imp PL,вы́тащите
