Infinitive,вы́спросить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́спросивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́спрошенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́спросив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́спросивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́спрошу
2nd Sing,вы́спросишь
3rd Sing,вы́спросит
1st Pl,вы́спросим
2nd Pl,вы́спросите
3rd Pl,вы́спросят
Past M,вы́спросил
Past F,вы́спросила
Past N,вы́спросило
Past PL,вы́спросили
Imp S,вы́спроси
Imp PL,вы́спросите
