Infinitive,вывора́чивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вывора́чивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,вывора́чивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вывора́чиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,вывора́чивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,вывора́чивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,вывора́чивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,вывора́чиваю
2nd Sing,вывора́чиваешь
3rd Sing,вывора́чивает
1st Pl,вывора́чиваем
2nd Pl,вывора́чиваете
3rd Pl,вывора́чивают
Past M,вывора́чивал
Past F,вывора́чивала
Past N,вывора́чивало
Past PL,вывора́чивали
Imp S,вывора́чивай
Imp PL,вывора́чивайте
