Infinitive,вы́говориться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,вы́говорившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́говорившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,вы́говорюсь
2nd Sing,вы́говоришься
3rd Sing,вы́говорится
1st Pl,вы́говоримся
2nd Pl,вы́говоритесь
3rd Pl,вы́говорятся
Past M,вы́говорился
Past F,вы́говорилась
Past N,вы́говорилось
Past PL,вы́говорились
Imp S,вы́говорись
Imp PL,вы́говоритесь
