Infinitive,выявля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,выявля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,выявля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,выявля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,выявля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,выявля́юсь
2nd Sing,выявля́ешься
3rd Sing,выявля́ется
1st Pl,выявля́емся
2nd Pl,выявля́етесь
3rd Pl,выявля́ются
Past M,выявля́лся
Past F,выявля́лась
Past N,выявля́лось
Past PL,выявля́лись
Imp S,выявля́йся
Imp PL,выявля́йтесь
