Infinitive,вы́плеснуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,вы́плеснувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,вы́плеснутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,вы́плеснув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,вы́плеснувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,вы́плесну
2nd Sing,вы́плеснешь
3rd Sing,вы́плеснет
1st Pl,вы́плеснем
2nd Pl,вы́плеснете
3rd Pl,вы́плеснут
Past M,вы́плеснул
Past F,вы́плеснула
Past N,вы́плеснуло
Past PL,вы́плеснули
Imp S,вы́плесни
Imp PL,вы́плесните
